#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.24e+07  |2841947786|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.20312045|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.02660903|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.88086167|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.38652520|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.07786111|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.70385242|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.72239307|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.86629576|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.83788629|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.99885488|   WEAK   
      rgb_lagged_sum|  30|   1000000|     100|0.29307655|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.55554016|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.70379572|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.13755674|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.47294228|  PASSED  
             dab_dct| 256|     50000|       1|0.74440941|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.89289961|  PASSED  
        dab_filltree|  32|  15000000|       1|0.39295563|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.75229757|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.05012845|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.39349834|  PASSED  
