#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.43e+07  |1037487653|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.47831469|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.86073124|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.14461972|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.92161837|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.95083856|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.72141220|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.31909253|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.52998688|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.57752467|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.69332048|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.31526410|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.23218502|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.98756159|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.71706566|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.39063628|  PASSED  
             dab_dct| 256|     50000|       1|0.49977715|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.50827783|  PASSED  
        dab_filltree|  32|  15000000|       1|0.42092317|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.01099936|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.21958011|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.99983783|   WEAK   
